matrix_name,mode,num_procs,total_gflops,p90_time,load_imbalance,ghost_avg
pdb1HYS.mtx,Hybrid (MPI+OMP),1,6.722,0.001292706,1.0,0.0
pdb1HYS.mtx,Hybrid (MPI+OMP),2,0.162,0.053633213,1.0001,18208.5
pdb1HYS.mtx,Hybrid (MPI+OMP),4,0.0652,0.133368015,1.0007,27312.75
pdb1HYS.mtx,Hybrid (MPI+OMP),8,0.0458,0.18970418,1.0042,31864.88
pdb1HYS.mtx,Hybrid (MPI+OMP),16,0.0122,0.714390278,1.0068,34136.62
pdb1HYS.mtx,Hybrid (MPI+OMP),32,0.0081,1.066224813,1.009,35112.56
pdb1HYS.mtx,Hybrid (MPI+OMP),64,0.0061,1.43316102,1.0197,33310.72
pdb1HYS.mtx,Hybrid (MPI+OMP),128,0.0041,2.109006405,1.0319,25636.16
pdb1HYS.mtx,Pure MPI,1,1.6977,0.00511837,1.0,0.0
pdb1HYS.mtx,Pure MPI,2,2.7342,0.00317812,1.0001,18208.5
pdb1HYS.mtx,Pure MPI,4,5.3114,0.001636028,1.0007,27312.75
pdb1HYS.mtx,Pure MPI,8,9.9963,0.000869274,1.0042,31864.88
pdb1HYS.mtx,Pure MPI,16,9.912,0.000876665,1.0068,34136.62
pdb1HYS.mtx,Pure MPI,32,4.5348,0.00191617,1.009,35112.56
pdb1HYS.mtx,Pure MPI,64,2.1945,0.003959656,1.0197,33310.72
pdb1HYS.mtx,Pure MPI,128,1.6151,0.005380154,1.0319,25636.16
